Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,15,0.7,0.1,0.1,0.1,100,96.84696388,0.97,37.7165
5,15,0.1,0.7,0.1,0.1,100,90.64318037,0.91,38.1863
12,15,0.1,0.1,0.7,0.1,1000,691.2120419,0.69,-72.8883
14,15,0.1,0.1,0.1,0.7,300,239.8354661,0.8,2.6156
19,15,0.3,0.3,0.3,0.1,500,380.4474764,0.76,8.1092
23,15,0.3,0.3,0.1,0.3,500,388.0072136,0.78,30.5059
25,15,0.3,0.1,0.3,0.3,100,85.63274479,0.86,-7.2601
32,15,0.1,0.3,0.3,0.3,1000,764.680043,0.76,-8.4458
36,15,0.5,0.3,0.1,0.1,1000,770.1002402,0.77,41.8038
39,15,0.5,0.1,0.3,0.1,500,413.2976761,0.83,5.5784
41,15,0.5,0.1,0.1,0.3,100,90.18078089,0.9,27.2631
46,15,0.3,0.5,0.1,0.1,300,240.8723702,0.8,41.619
50,15,0.1,0.5,0.3,0.1,300,238.5129471,0.8,3.9565
53,15,0.1,0.5,0.1,0.3,100,94.08648443,0.94,27.2259
57,15,0.3,0.1,0.5,0.1,100,86.11827993,0.86,-31.2588
64,15,0.1,0.3,0.5,0.1,1000,760.0686407,0.76,-30.3787
66,15,0.1,0.1,0.5,0.3,300,232.8686337,0.78,-47.1061
72,15,0.1,0.1,0.3,0.5,1000,735.3046441,0.74,-22.2209
73,15,0.1,0.3,0.1,0.5,100,91.78176308,0.92,14.8821
80,15,0.3,0.1,0.1,0.5,1000,795.1419122,0.8,15.2634
83,15,0.25,0.25,0.25,0.25,500,388.2403672,0.78,4.3514
