Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,15,0.7,0.1,0.1,0.1,100,96.84696388,0.97,37.7165
2,15,0.7,0.1,0.1,0.1,300,260.7118149,0.87,38.9067
3,15,0.7,0.1,0.1,0.1,500,397.2474813,0.79,38.6177
4,15,0.7,0.1,0.1,0.1,1000,810.4450366,0.81,39.6326
5,15,0.1,0.7,0.1,0.1,100,90.64318037,0.91,38.1863
6,15,0.1,0.7,0.1,0.1,300,246.7408624,0.82,39.8831
7,15,0.1,0.7,0.1,0.1,500,400.2756228,0.8,38.6398
8,15,0.1,0.7,0.1,0.1,1000,836.9721584,0.84,38.9429
9,15,0.1,0.1,0.7,0.1,100,85.09553695,0.85,-71.9829
10,15,0.1,0.1,0.7,0.1,300,222.3951688,0.74,-70.9494
11,15,0.1,0.1,0.7,0.1,500,362.4601319,0.72,-69.89
12,15,0.1,0.1,0.7,0.1,1000,691.2120419,0.69,-72.8883
13,15,0.1,0.1,0.1,0.7,100,94.44120741,0.94,3.2848
14,15,0.1,0.1,0.1,0.7,300,239.8354661,0.8,2.6156
15,15,0.1,0.1,0.1,0.7,500,384.0278869,0.77,3.2173
16,15,0.1,0.1,0.1,0.7,1000,752.5677152,0.75,2.6553
17,15,0.3,0.3,0.3,0.1,100,90.38916969,0.9,9.8203
18,15,0.3,0.3,0.3,0.1,300,241.3395591,0.8,10.2429
19,15,0.3,0.3,0.3,0.1,500,380.4474764,0.76,8.1092
20,15,0.3,0.3,0.3,0.1,1000,777.701123,0.78,8.702
21,15,0.3,0.3,0.1,0.3,100,89.13559675,0.89,31.7809
22,15,0.3,0.3,0.1,0.3,300,231.7070391,0.77,31.4937
23,15,0.3,0.3,0.1,0.3,500,388.0072136,0.78,30.5059
24,15,0.3,0.3,0.1,0.3,1000,749.4387515,0.75,31.2556
25,15,0.3,0.1,0.3,0.3,100,85.63274479,0.86,-7.2601
26,15,0.3,0.1,0.3,0.3,300,241.8839469,0.81,-4.0542
27,15,0.3,0.1,0.3,0.3,500,402.6232719,0.81,-5.9174
28,15,0.3,0.1,0.3,0.3,1000,762.5723248,0.76,-6.3107
