Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1.0,15.0,0.7,0.1,0.1,0.1,100.0,18.29362655,0.18,16.4105
5.0,15.0,0.1,0.7,0.1,0.1,100.0,19.33793736,0.19,17.2006
11.0,15.0,0.1,0.1,0.7,0.1,500.0,85.50499487,0.17,-41.5796
13.0,15.0,0.1,0.1,0.1,0.7,100.0,22.43407273,0.22,0.3288
20.0,15.0,0.3,0.3,0.3,0.1,1000.0,168.1749227,0.17,1.3656
21.0,15.0,0.3,0.3,0.1,0.3,100.0,19.43749189,0.19,13.8271
28.0,15.0,0.3,0.1,0.3,0.3,1000.0,169.1975391,0.17,-6.1822
31.0,15.0,0.1,0.3,0.3,0.3,500.0,87.75173044,0.18,-5.9634
35.0,15.0,0.5,0.3,0.1,0.1,500.0,112.0575802,0.22,18.943
40.0,15.0,0.5,0.1,0.3,0.1,1000.0,205.7914839,0.21,-0.8777
44.0,15.0,0.5,0.1,0.1,0.3,1000.0,182.649631,0.18,11.9512
48.0,15.0,0.3,0.5,0.1,0.1,1000.0,175.1436052,0.18,19.2901
52.0,15.0,0.1,0.5,0.3,0.1,1000.0,168.5510709,0.17,-0.5042
53.0,15.0,0.1,0.5,0.1,0.3,100.0,18.66400862,0.19,11.6487
58.0,15.0,0.3,0.1,0.5,0.1,300.0,55.56381345,0.19,-20.1653
61.0,15.0,0.1,0.3,0.5,0.1,100.0,20.02928495,0.2,-19.768
67.0,15.0,0.1,0.1,0.5,0.3,500.0,83.13961482,0.17,-27.1757
71.0,15.0,0.1,0.1,0.3,0.5,500.0,78.33330154,0.16,-13.7565
76.0,15.0,0.1,0.3,0.1,0.5,1000.0,162.430752,0.16,7.0658
79.0,15.0,0.3,0.1,0.1,0.5,500.0,85.96198583,0.17,5.7563
82.0,15.0,0.25,0.25,0.25,0.25,300.0,61.58416677,0.21,0.2296
