Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,15,0.7,0.1,0.1,0.1,100,18.29362655,0.18,16.4105
2,15,0.7,0.1,0.1,0.1,300,52.20271516,0.17,17.2285
3,15,0.7,0.1,0.1,0.1,500,85.39044094,0.17,18.0854
4,15,0.7,0.1,0.1,0.1,1000,172.2271292,0.17,17.8419
5,15,0.1,0.7,0.1,0.1,100,19.33793736,0.19,17.2006
6,15,0.1,0.7,0.1,0.1,300,51.97526455,0.17,18.5371
7,15,0.1,0.7,0.1,0.1,500,91.57984853,0.18,18.0952
8,15,0.1,0.7,0.1,0.1,1000,173.8434484,0.17,17.9517
9,15,0.1,0.1,0.7,0.1,100,19.67883921,0.2,-40.684
10,15,0.1,0.1,0.7,0.1,300,60.74306417,0.2,-40.9705
11,15,0.1,0.1,0.7,0.1,500,85.50499487,0.17,-41.5796
12,15,0.1,0.1,0.7,0.1,1000,184.5094388,0.18,-40.389
13,15,0.1,0.1,0.1,0.7,100,22.43407273,0.22,0.3288
14,15,0.1,0.1,0.1,0.7,300,63.87373662,0.21,0.9103
15,15,0.1,0.1,0.1,0.7,500,103.1292555,0.21,0.7087
16,15,0.1,0.1,0.1,0.7,1000,192.0648558,0.19,0.9367
17,15,0.3,0.3,0.3,0.1,100,20.31093788,0.2,2.6816
18,15,0.3,0.3,0.3,0.1,300,54.78146148,0.18,2.4071
19,15,0.3,0.3,0.3,0.1,500,87.80891156,0.18,1.4107
20,15,0.3,0.3,0.3,0.1,1000,168.1749227,0.17,1.3656
21,15,0.3,0.3,0.1,0.3,100,19.43749189,0.19,13.8271
22,15,0.3,0.3,0.1,0.3,300,55.31065154,0.18,13.9733
23,15,0.3,0.3,0.1,0.3,500,82.08096719,0.16,14.7812
24,15,0.3,0.3,0.1,0.3,1000,174.8768213,0.17,14.1599
25,15,0.3,0.1,0.3,0.3,100,18.30512714,0.18,-5.9292
26,15,0.3,0.1,0.3,0.3,300,51.22590375,0.17,-5.1438
27,15,0.3,0.1,0.3,0.3,500,85.62430239,0.17,-6.1035
28,15,0.3,0.1,0.3,0.3,1000,169.1975391,0.17,-6.1822
29,15,0.1,0.3,0.3,0.3,100,19.49301982,0.19,-5.2662
30,15,0.1,0.3,0.3,0.3,300,55.384094,0.18,-5.3302
31,15,0.1,0.3,0.3,0.3,500,87.75173044,0.18,-5.9634
32,15,0.1,0.3,0.3,0.3,1000,180.6159091,0.18,-4.9611
