Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
3.0,15.0,0.7,0.1,0.1,0.1,500.0,20.29791737,0.04,4.3541
8.0,15.0,0.1,0.7,0.1,0.1,1000.0,37.23618984,0.04,4.6286
11.0,15.0,0.1,0.1,0.7,0.1,500.0,18.45392084,0.04,-12.0277
16.0,15.0,0.1,0.1,0.1,0.7,1000.0,37.29858804,0.04,0.1648
18.0,15.0,0.3,0.3,0.3,0.1,300.0,12.28179741,0.04,0.1741
24.0,15.0,0.3,0.3,0.1,0.3,1000.0,36.37664437,0.04,4.0661
25.0,15.0,0.3,0.1,0.3,0.3,100.0,4.250255108,0.04,-2.3746
31.0,15.0,0.1,0.3,0.3,0.3,500.0,18.36027384,0.04,-2.0045
35.0,15.0,0.5,0.3,0.1,0.1,500.0,19.37587881,0.04,5.553
40.0,15.0,0.5,0.1,0.3,0.1,1000.0,37.36105704,0.04,0.0942
44.0,15.0,0.5,0.1,0.1,0.3,1000.0,37.81410384,0.04,2.8078
47.0,15.0,0.3,0.5,0.1,0.1,500.0,18.45389342,0.04,5.1182
50.0,15.0,0.1,0.5,0.3,0.1,300.0,11.19402695,0.04,-0.1724
53.0,15.0,0.1,0.5,0.1,0.3,100.0,4.156453133,0.04,3.2476
60.0,15.0,0.3,0.1,0.5,0.1,1000.0,35.5796268,0.04,-5.8002
64.0,15.0,0.1,0.3,0.5,0.1,1000.0,37.5484767,0.04,-5.9374
67.0,15.0,0.1,0.1,0.5,0.3,500.0,19.11024547,0.04,-8.0111
72.0,15.0,0.1,0.1,0.3,0.5,1000.0,35.06392193,0.04,-3.8197
75.0,15.0,0.1,0.3,0.1,0.5,500.0,18.35980058,0.04,1.5186
77.0,15.0,0.3,0.1,0.1,0.5,100.0,4.375138044,0.04,1.7375
84.0,15.0,0.25,0.25,0.25,0.25,1000.0,37.32963872,0.04,0.3105
