Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,15,0.7,0.1,0.1,0.1,100,4.125231981,0.04,5.4602
2,15,0.7,0.1,0.1,0.1,300,11.59431434,0.04,4.9531
3,15,0.7,0.1,0.1,0.1,500,20.29791737,0.04,4.3541
4,15,0.7,0.1,0.1,0.1,1000,36.54863358,0.04,5.6425
5,15,0.1,0.7,0.1,0.1,100,4.188135147,0.04,5.2082
6,15,0.1,0.7,0.1,0.1,300,11.64076161,0.04,5.4938
7,15,0.1,0.7,0.1,0.1,500,19.17282152,0.04,4.8882
8,15,0.1,0.7,0.1,0.1,1000,37.23618984,0.04,4.6286
9,15,0.1,0.1,0.7,0.1,100,4.203414679,0.04,-11.9462
10,15,0.1,0.1,0.7,0.1,300,11.21931601,0.04,-11.5703
11,15,0.1,0.1,0.7,0.1,500,18.45392084,0.04,-12.0277
12,15,0.1,0.1,0.7,0.1,1000,35.89244747,0.04,-11.8095
13,15,0.1,0.1,0.1,0.7,100,4.156467915,0.04,0.3319
14,15,0.1,0.1,0.1,0.7,300,11.40678787,0.04,0.3178
15,15,0.1,0.1,0.1,0.7,500,19.09483194,0.04,0.3196
16,15,0.1,0.1,0.1,0.7,1000,37.29858804,0.04,0.1648
17,15,0.3,0.3,0.3,0.1,100,4.25017643,0.04,0.8199
18,15,0.3,0.3,0.3,0.1,300,12.28179741,0.04,0.1741
19,15,0.3,0.3,0.3,0.1,500,17.78210115,0.04,1.0351
20,15,0.3,0.3,0.3,0.1,1000,37.09547806,0.04,0.4569
21,15,0.3,0.3,0.1,0.3,100,4.312748432,0.04,4.2432
22,15,0.3,0.3,0.1,0.3,300,11.5317874,0.04,4.45
23,15,0.3,0.3,0.1,0.3,500,18.6727438,0.04,4.4215
24,15,0.3,0.3,0.1,0.3,1000,36.37664437,0.04,4.0661
25,15,0.3,0.1,0.3,0.3,100,4.250255108,0.04,-2.3746
26,15,0.3,0.1,0.3,0.3,300,11.18805695,0.04,-1.8093
27,15,0.3,0.1,0.3,0.3,500,18.51691341,0.04,-1.4477
28,15,0.3,0.1,0.3,0.3,1000,36.64219499,0.04,-1.7125
29,15,0.1,0.3,0.3,0.3,100,4.281144381,0.04,-1.7785
30,15,0.1,0.3,0.3,0.3,300,11.35987926,0.04,-1.3635
31,15,0.1,0.3,0.3,0.3,500,18.36027384,0.04,-2.0045
32,15,0.1,0.3,0.3,0.3,1000,36.42360353,0.04,-1.8748
33,15,0.5,0.3,0.1,0.1,100,4.140934229,0.04,5.5589
34,15,0.5,0.3,0.1,0.1,300,11.84412622,0.04,6.4762
35,15,0.5,0.3,0.1,0.1,500,19.37587881,0.04,5.553
36,15,0.5,0.3,0.1,0.1,1000,36.84542561,0.04,5.9049
37,15,0.5,0.1,0.3,0.1,100,4.140860796,0.04,0.1031
38,15,0.5,0.1,0.3,0.1,300,11.42614913,0.04,0.3874
39,15,0.5,0.1,0.3,0.1,500,18.75964618,0.04,0.3914
40,15,0.5,0.1,0.3,0.1,1000,37.36105704,0.04,0.0942
41,15,0.5,0.1,0.1,0.3,100,4.2034688,0.04,3.5584
42,15,0.5,0.1,0.1,0.3,300,11.7971952,0.04,3.8237
43,15,0.5,0.1,0.1,0.3,500,18.14154673,0.04,3.6505
44,15,0.5,0.1,0.1,0.3,1000,37.81410384,0.04,2.8078
45,15,0.3,0.5,0.1,0.1,100,4.187742472,0.04,5.9893
46,15,0.3,0.5,0.1,0.1,300,11.39115047,0.04,5.7649
