Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
4.0,15.0,0.7,0.1,0.1,0.1,1000.0,22.46284676,0.02,1.5285
5.0,15.0,0.1,0.7,0.1,0.1,100.0,2.654780626,0.03,1.4125
10.0,15.0,0.1,0.1,0.7,0.1,300.0,5.94991231,0.02,-8.0855
15.0,15.0,0.1,0.1,0.1,0.7,500.0,15.24506998,0.03,-0.4885
17.0,15.0,0.3,0.3,0.3,0.1,100.0,2.509122372,0.03,-1.2721
24.0,15.0,0.3,0.3,0.1,0.3,1000.0,21.74663424,0.02,1.266
28.0,15.0,0.3,0.1,0.3,0.3,1000.0,21.09470057,0.02,-2.0503
30.0,15.0,0.1,0.3,0.3,0.3,300.0,6.146948814,0.02,-2.5299
36.0,15.0,0.5,0.3,0.1,0.1,1000.0,22.41814137,0.02,1.7049
39.0,15.0,0.5,0.1,0.3,0.1,500.0,11.17799807,0.02,-1.2734
42.0,15.0,0.5,0.1,0.1,0.3,300.0,6.417406797,0.02,0.9978
47.0,15.0,0.3,0.5,0.1,0.1,500.0,11.78026175,0.02,1.4274
51.0,15.0,0.1,0.5,0.3,0.1,500.0,11.43697739,0.02,-1.7574
53.0,15.0,0.1,0.5,0.1,0.3,100.0,2.634489059,0.03,0.7929
59.0,15.0,0.3,0.1,0.5,0.1,500.0,11.81760097,0.02,-4.8306
61.0,15.0,0.1,0.3,0.5,0.1,100.0,2.256388187,0.02,-4.9801
67.0,15.0,0.1,0.1,0.5,0.3,500.0,10.46098685,0.02,-5.3879
69.0,15.0,0.1,0.1,0.3,0.5,100.0,2.048015833,0.02,-2.8944
73.0,15.0,0.1,0.3,0.1,0.5,100.0,2.266914368,0.02,0.2723
80.0,15.0,0.3,0.1,0.1,0.5,1000.0,22.22800922,0.02,0.2726
84.0,15.0,0.25,0.25,0.25,0.25,1000.0,24.0975585,0.02,-1.106
