Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,15,0.7,0.1,0.1,0.1,100,2.188369274,0.02,1.6633
2,15,0.7,0.1,0.1,0.1,300,5.841067076,0.02,2.1217
3,15,0.7,0.1,0.1,0.1,500,9.806680202,0.02,2.0014
4,15,0.7,0.1,0.1,0.1,1000,22.46284676,0.02,1.5285
5,15,0.1,0.7,0.1,0.1,100,2.654780626,0.03,1.4125
6,15,0.1,0.7,0.1,0.1,300,6.700392008,0.02,1.5869
7,15,0.1,0.7,0.1,0.1,500,11.64560485,0.02,1.5614
8,15,0.1,0.7,0.1,0.1,1000,21.33104134,0.02,1.8402
9,15,0.1,0.1,0.7,0.1,100,2.47922349,0.02,-7.5625
10,15,0.1,0.1,0.7,0.1,300,5.94991231,0.02,-8.0855
11,15,0.1,0.1,0.7,0.1,500,12.99464965,0.03,-7.9527
12,15,0.1,0.1,0.7,0.1,1000,28.98224235,0.03,-7.8725
13,15,0.1,0.1,0.1,0.7,100,2.77077198,0.03,-0.4034
14,15,0.1,0.1,0.1,0.7,300,9.820581913,0.03,-0.3069
15,15,0.1,0.1,0.1,0.7,500,15.24506998,0.03,-0.4885
16,15,0.1,0.1,0.1,0.7,1000,24.34589076,0.02,-0.2689
17,15,0.3,0.3,0.3,0.1,100,2.509122372,0.03,-1.2721
18,15,0.3,0.3,0.3,0.1,300,6.683149099,0.02,-0.8072
19,15,0.3,0.3,0.3,0.1,500,10.51552987,0.02,-0.9036
20,15,0.3,0.3,0.3,0.1,1000,21.42833757,0.02,-0.6269
21,15,0.3,0.3,0.1,0.3,100,2.19783783,0.02,1.3248
22,15,0.3,0.3,0.1,0.3,300,6.677235603,0.02,1.3667
23,15,0.3,0.3,0.1,0.3,500,10.3774457,0.02,1.3649
24,15,0.3,0.3,0.1,0.3,1000,21.74663424,0.02,1.266
25,15,0.3,0.1,0.3,0.3,100,2.398760319,0.02,-1.8426
26,15,0.3,0.1,0.3,0.3,300,6.39031744,0.02,-1.7999
27,15,0.3,0.1,0.3,0.3,500,10.98672605,0.02,-1.9118
28,15,0.3,0.1,0.3,0.3,1000,21.09470057,0.02,-2.0503
29,15,0.1,0.3,0.3,0.3,100,2.405990601,0.02,-1.9493
30,15,0.1,0.3,0.3,0.3,300,6.146948814,0.02,-2.5299
31,15,0.1,0.3,0.3,0.3,500,11.11045599,0.02,-1.8229
32,15,0.1,0.3,0.3,0.3,1000,21.78429937,0.02,-2.415
33,15,0.5,0.3,0.1,0.1,100,2.327697039,0.02,2.1842
34,15,0.5,0.3,0.1,0.1,300,7.042229652,0.02,2.0941
35,15,0.5,0.3,0.1,0.1,500,11.12186527,0.02,1.8959
36,15,0.5,0.3,0.1,0.1,1000,22.41814137,0.02,1.7049
37,15,0.5,0.1,0.3,0.1,100,2.368813276,0.02,-0.757
38,15,0.5,0.1,0.3,0.1,300,6.52802372,0.02,-0.8461
39,15,0.5,0.1,0.3,0.1,500,11.17799807,0.02,-1.2734
