Option_number,Employed_bees,Limit,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
3.0,15.0,150.0,0.7,0.1,0.1,0.1,243.0,15.43,3.809876543,6.2324
6.0,15.0,150.0,0.1,0.7,0.1,0.1,326.0,19.87,3.657055215,6.2719
8.0,15.0,50.0,0.1,0.1,0.7,0.1,281.0,14.04,2.997864769,-46.9032
11.0,15.0,50.0,0.1,0.1,0.1,0.7,236.0,13.58,3.452542373,-0.8376
15.0,15.0,150.0,0.3,0.3,0.3,0.1,207.0,11.56,3.350724638,-3.2524
17.0,15.0,50.0,0.3,0.3,0.1,0.3,254.0,15.56,3.675590551,5.2279
21.0,15.0,150.0,0.3,0.1,0.3,0.3,427.0,21.66,3.043559719,-9.6201
24.0,15.0,150.0,0.1,0.3,0.3,0.3,187.0,9.72,3.118716578,-8.9255
27.0,15.0,150.0,0.5,0.3,0.1,0.1,264.0,17.01,3.865909091,8.2276
29.0,15.0,50.0,0.5,0.1,0.3,0.1,329.0,17.7,3.227963526,-4.3561
32.0,15.0,50.0,0.5,0.1,0.1,0.3,234.0,14.06,3.605128205,4.4271
35.0,15.0,50.0,0.3,0.5,0.1,0.1,181.0,11.62,3.851933702,7.1549
38.0,15.0,50.0,0.1,0.5,0.3,0.1,192.0,10.62,3.31875,-4.1733
40.0,15.0,10.0,0.1,0.5,0.1,0.3,393.0,23.42,3.575572519,4.6083
45.0,15.0,150.0,0.3,0.1,0.5,0.1,269.0,13.32,2.971003717,-24.1377
47.0,15.0,50.0,0.1,0.3,0.5,0.1,280.0,14.1,3.021428571,-23.3527
51.0,15.0,150.0,0.1,0.1,0.5,0.3,156.0,7.86,3.023076923,-30.3697
54.0,15.0,150.0,0.1,0.1,0.3,0.5,160.0,7.78,2.9175,-14.9771
56.0,15.0,50.0,0.1,0.3,0.1,0.5,399.0,24.08,3.621052632,1.9028
60.0,15.0,150.0,0.3,0.1,0.1,0.5,173.0,10.4,3.606936416,2.0075
63.0,15.0,150.0,0.25,0.25,0.25,0.25,426.0,23.63,3.328169014,-2.4157
