Option_number,Employed_bees,Limit,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,15,10,0.7,0.1,0.1,0.1,213,13.65,3.845070423,7.4143
2,15,50,0.7,0.1,0.1,0.1,188,12.05,3.845744681,7.5092
3,15,150,0.7,0.1,0.1,0.1,243,15.43,3.809876543,6.2324
4,15,10,0.1,0.7,0.1,0.1,291,17.62,3.632989691,7.6011
5,15,50,0.1,0.7,0.1,0.1,184,11.39,3.714130435,6.442
6,15,150,0.1,0.7,0.1,0.1,326,19.87,3.657055215,6.2719
7,15,10,0.1,0.1,0.7,0.1,145,7.66,3.169655172,-44.0791
8,15,50,0.1,0.1,0.7,0.1,281,14.04,2.997864769,-46.9032
9,15,150,0.1,0.1,0.7,0.1,180,8.74,2.913333333,-45.4518
10,15,10,0.1,0.1,0.1,0.7,362,20.34,3.371270718,-0.7331
11,15,50,0.1,0.1,0.1,0.7,236,13.58,3.452542373,-0.8376
12,15,150,0.1,0.1,0.1,0.7,249,14.14,3.407228916,-0.7931
13,15,10,0.3,0.3,0.3,0.1,166,9.6,3.469879518,-2.4931
14,15,50,0.3,0.3,0.3,0.1,314,17.7,3.382165605,-2.8594
15,15,150,0.3,0.3,0.3,0.1,207,11.56,3.350724638,-3.2524
16,15,10,0.3,0.3,0.1,0.3,176,10.71,3.651136364,6.3122
17,15,50,0.3,0.3,0.1,0.3,254,15.56,3.675590551,5.2279
18,15,150,0.3,0.3,0.1,0.3,162,10.2,3.777777778,5.6093
19,15,10,0.3,0.1,0.3,0.3,197,10.59,3.225380711,-7.6746
20,15,50,0.3,0.1,0.3,0.3,162,8.42,3.118518519,-8.138
21,15,150,0.3,0.1,0.3,0.3,427,21.66,3.043559719,-9.6201
22,15,10,0.1,0.3,0.3,0.3,171,9.27,3.252631579,-8.1691
23,15,50,0.1,0.3,0.3,0.3,164,8.62,3.153658537,-8.8032
24,15,150,0.1,0.3,0.3,0.3,187,9.72,3.118716578,-8.9255
25,15,10,0.5,0.3,0.1,0.1,149,8.98,3.616107383,9.0245
26,15,50,0.5,0.3,0.1,0.1,155,9.57,3.704516129,8.2979
27,15,150,0.5,0.3,0.1,0.1,264,17.01,3.865909091,8.2276
28,15,10,0.5,0.1,0.3,0.1,216,11.95,3.319444444,-3.3671
29,15,50,0.5,0.1,0.3,0.1,329,17.7,3.227963526,-4.3561
30,15,150,0.5,0.1,0.3,0.1,175,9.51,3.260571429,-4.2898
31,15,10,0.5,0.1,0.1,0.3,223,13.29,3.575784753,5.2783
32,15,50,0.5,0.1,0.1,0.3,234,14.06,3.605128205,4.4271
33,15,150,0.5,0.1,0.1,0.3,198,12.14,3.678787879,4.4453
34,15,10,0.3,0.5,0.1,0.1,188,11.37,3.628723404,8.5123
35,15,50,0.3,0.5,0.1,0.1,181,11.62,3.851933702,7.1549
36,15,150,0.3,0.5,0.1,0.1,335,21.41,3.834626866,7.2047
37,15,10,0.1,0.5,0.3,0.1,307,17.14,3.349837134,-3.6671
38,15,50,0.1,0.5,0.3,0.1,192,10.62,3.31875,-4.1733
39,15,150,0.1,0.5,0.3,0.1,160,8.56,3.21,-4.1017
40,15,10,0.1,0.5,0.1,0.3,393,23.42,3.575572519,4.6083
41,15,50,0.1,0.5,0.1,0.3,188,11.23,3.584042553,5.2347
42,15,150,0.1,0.5,0.1,0.3,174,10.52,3.627586207,4.6626
43,15,10,0.3,0.1,0.5,0.1,216,11.66,3.238888889,-22.7796
44,15,50,0.3,0.1,0.5,0.1,193,9.73,3.024870466,-23.8961
45,15,150,0.3,0.1,0.5,0.1,269,13.32,2.971003717,-24.1377
46,15,10,0.1,0.3,0.5,0.1,144,7.77,3.2375,-21.1623
47,15,50,0.1,0.3,0.5,0.1,280,14.1,3.021428571,-23.3527
48,15,150,0.1,0.3,0.5,0.1,253,12.48,2.959683794,-23.1109
49,15,10,0.1,0.1,0.5,0.3,325,17.58,3.245538462,-29.4156
50,15,50,0.1,0.1,0.5,0.3,224,11.18,2.994642857,-29.627
51,15,150,0.1,0.1,0.5,0.3,156,7.86,3.023076923,-30.3697
52,15,10,0.1,0.1,0.3,0.5,299,16.29,3.268896321,-14.2265
53,15,50,0.1,0.1,0.3,0.5,353,17.93,3.047592068,-14.6655
54,15,150,0.1,0.1,0.3,0.5,160,7.78,2.9175,-14.9771
55,15,10,0.1,0.3,0.1,0.5,215,12.53,3.496744186,2.8194
56,15,50,0.1,0.3,0.1,0.5,399,24.08,3.621052632,1.9028
57,15,150,0.1,0.3,0.1,0.5,293,17.86,3.657337884,2.002
58,15,10,0.3,0.1,0.1,0.5,265,15.63,3.538867925,2.5283
59,15,50,0.3,0.1,0.1,0.5,217,13.22,3.655299539,2.2441
60,15,150,0.3,0.1,0.1,0.5,173,10.4,3.606936416,2.0075
61,15,10,0.25,0.25,0.25,0.25,235,13.29,3.393191489,-1.6788
62,15,50,0.25,0.25,0.25,0.25,206,11.18,3.25631068,-1.5429
63,15,150,0.25,0.25,0.25,0.25,426,23.63,3.328169014,-2.4157
