Option_number,Employed_bees,Limit,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
4.0,15.0,100.0,0.7,0.1,0.1,0.1,469.0,6.23,0.797014925,1.603
9.0,15.0,100.0,0.1,0.7,0.1,0.1,186.0,1.78,0.574193548,1.3346
15.0,15.0,150.0,0.1,0.1,0.7,0.1,457.0,3.43,0.450328228,-14.1416
19.0,15.0,100.0,0.1,0.1,0.1,0.7,232.0,2.09,0.540517241,-0.2884
24.0,15.0,100.0,0.3,0.3,0.3,0.1,224.0,1.98,0.530357143,-1.2823
29.0,15.0,100.0,0.3,0.3,0.1,0.3,207.0,2.1,0.608695652,1.6215
35.0,15.0,150.0,0.3,0.1,0.3,0.3,176.0,1.44,0.490909091,-3.0808
39.0,15.0,100.0,0.1,0.3,0.3,0.3,202.0,1.69,0.501980198,-2.9319
43.0,15.0,50.0,0.5,0.3,0.1,0.1,427.0,4.27,0.6,2.0057
46.0,15.0,10.0,0.5,0.1,0.3,0.1,292.0,2.72,0.55890411,-1.9685
55.0,15.0,150.0,0.5,0.1,0.1,0.3,328.0,3.1,0.567073171,0.8947
59.0,15.0,100.0,0.3,0.5,0.1,0.1,261.0,2.62,0.602298851,2.0351
62.0,15.0,30.0,0.1,0.5,0.3,0.1,337.0,2.9,0.516320475,-1.7596
67.0,15.0,30.0,0.1,0.5,0.1,0.3,422.0,4.0,0.568720379,1.1812
74.0,15.0,100.0,0.3,0.1,0.5,0.1,377.0,2.92,0.464721485,-7.3489
77.0,15.0,30.0,0.1,0.3,0.5,0.1,222.0,1.79,0.483783784,-7.2813
85.0,15.0,150.0,0.1,0.1,0.5,0.3,336.0,2.52,0.45,-9.3844
90.0,15.0,150.0,0.1,0.1,0.3,0.5,368.0,2.82,0.459782609,-4.6493
93.0,15.0,50.0,0.1,0.3,0.1,0.5,352.0,3.21,0.547159091,0.7188
97.0,15.0,30.0,0.3,0.1,0.1,0.5,197.0,1.82,0.554314721,0.3414
103.0,15.0,50.0,0.25,0.25,0.25,0.25,362.0,3.19,0.528729282,-0.8875
