Option_number,Employed_bees,Limit,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,15,10,0.7,0.1,0.1,0.1,297,3.28,0.662626263,1.7521
2,15,30,0.7,0.1,0.1,0.1,162,1.59,0.588888889,1.8873
3,15,50,0.7,0.1,0.1,0.1,234,2.36,0.605128205,1.9555
4,15,100,0.7,0.1,0.1,0.1,469,6.23,0.797014925,1.603
5,15,150,0.7,0.1,0.1,0.1,190,2.19,0.691578947,1.6773
6,15,10,0.1,0.7,0.1,0.1,159,1.52,0.573584906,1.6771
7,15,30,0.1,0.7,0.1,0.1,228,2.16,0.568421053,1.6743
8,15,50,0.1,0.7,0.1,0.1,244,2.32,0.570491803,1.5226
9,15,100,0.1,0.7,0.1,0.1,186,1.78,0.574193548,1.3346
10,15,150,0.1,0.7,0.1,0.1,250,2.43,0.5832,1.6497
11,15,10,0.1,0.1,0.7,0.1,247,2.08,0.505263158,-13.4166
12,15,30,0.1,0.1,0.7,0.1,481,3.77,0.47027027,-13.861
13,15,50,0.1,0.1,0.7,0.1,209,1.61,0.462200957,-13.7994
14,15,100,0.1,0.1,0.7,0.1,314,2.36,0.450955414,-13.8664
15,15,150,0.1,0.1,0.7,0.1,457,3.43,0.450328228,-14.1416
16,15,10,0.1,0.1,0.1,0.7,164,1.49,0.545121951,-0.285
17,15,30,0.1,0.1,0.1,0.7,279,2.49,0.535483871,-0.285
18,15,50,0.1,0.1,0.1,0.7,181,1.61,0.533701657,-0.2303
19,15,100,0.1,0.1,0.1,0.7,232,2.09,0.540517241,-0.2884
20,15,150,0.1,0.1,0.1,0.7,286,2.52,0.528671329,-0.2453
21,15,10,0.3,0.3,0.3,0.1,331,3.06,0.554682779,-0.7997
22,15,30,0.3,0.3,0.3,0.1,424,3.88,0.549056604,-1.0054
23,15,50,0.3,0.3,0.3,0.1,305,2.65,0.521311475,-0.9007
24,15,100,0.3,0.3,0.3,0.1,224,1.98,0.530357143,-1.2823
25,15,150,0.3,0.3,0.3,0.1,377,3.31,0.526790451,-1.0841
26,15,10,0.3,0.3,0.1,0.3,217,2.1,0.580645161,1.9026
27,15,30,0.3,0.3,0.1,0.3,165,1.64,0.596363636,1.8701
28,15,50,0.3,0.3,0.1,0.3,216,2.2,0.611111111,1.6338
29,15,100,0.3,0.3,0.1,0.3,207,2.1,0.608695652,1.6215
30,15,150,0.3,0.3,0.1,0.3,358,3.8,0.636871508,1.6737
31,15,10,0.3,0.1,0.3,0.3,200,1.75,0.525,-2.4669
32,15,30,0.3,0.1,0.3,0.3,184,1.6,0.52173913,-2.8198
33,15,50,0.3,0.1,0.3,0.3,181,1.48,0.490607735,-2.5979
34,15,100,0.3,0.1,0.3,0.3,218,1.77,0.487155963,-2.6147
35,15,150,0.3,0.1,0.3,0.3,176,1.44,0.490909091,-3.0808
36,15,10,0.1,0.3,0.3,0.3,176,1.53,0.521590909,-2.6782
37,15,30,0.1,0.3,0.3,0.3,552,4.64,0.504347826,-2.6888
38,15,50,0.1,0.3,0.3,0.3,286,2.38,0.499300699,-2.6207
39,15,100,0.1,0.3,0.3,0.3,202,1.69,0.501980198,-2.9319
40,15,150,0.1,0.3,0.3,0.3,160,1.3,0.4875,-2.4979
41,15,10,0.5,0.3,0.1,0.1,395,3.84,0.583291139,2.2606
42,15,30,0.5,0.3,0.1,0.1,163,1.64,0.603680982,2.4764
43,15,50,0.5,0.3,0.1,0.1,427,4.27,0.6,2.0057
44,15,100,0.5,0.3,0.1,0.1,309,3.64,0.706796117,2.3613
45,15,150,0.5,0.3,0.1,0.1,342,3.7,0.649122807,2.2343
46,15,10,0.5,0.1,0.3,0.1,292,2.72,0.55890411,-1.9685
47,15,30,0.5,0.1,0.3,0.1,228,2.06,0.542105263,-1.637
48,15,50,0.5,0.1,0.3,0.1,473,4.22,0.535306554,-1.6765
49,15,100,0.5,0.1,0.3,0.1,224,1.92,0.514285714,-1.4575
50,15,150,0.5,0.1,0.3,0.1,419,3.53,0.50548926,-1.6172
51,15,10,0.5,0.1,0.1,0.3,443,4.19,0.567494357,1.3025
52,15,30,0.5,0.1,0.1,0.3,285,2.69,0.566315789,1.4529
53,15,50,0.5,0.1,0.1,0.3,220,2.07,0.564545455,1.2428
54,15,100,0.5,0.1,0.1,0.3,394,3.72,0.566497462,1.2925
55,15,150,0.5,0.1,0.1,0.3,328,3.1,0.567073171,0.8947
56,15,10,0.3,0.5,0.1,0.1,165,1.6,0.581818182,2.6962
57,15,30,0.3,0.5,0.1,0.1,183,1.78,0.583606557,2.2727
58,15,50,0.3,0.5,0.1,0.1,220,2.18,0.594545455,2.5102
59,15,100,0.3,0.5,0.1,0.1,261,2.62,0.602298851,2.0351
60,15,150,0.3,0.5,0.1,0.1,299,3.15,0.632107023,2.0651
61,15,10,0.1,0.5,0.3,0.1,399,3.57,0.536842105,-1.6077
62,15,30,0.1,0.5,0.3,0.1,337,2.9,0.516320475,-1.7596
63,15,50,0.1,0.5,0.3,0.1,274,2.36,0.516788321,-1.6348
64,15,100,0.1,0.5,0.3,0.1,383,3.29,0.5154047,-1.4758
65,15,150,0.1,0.5,0.3,0.1,241,2.01,0.500414938,-1.4517
66,15,10,0.1,0.5,0.1,0.3,199,1.85,0.557788945,1.3785
67,15,30,0.1,0.5,0.1,0.3,422,4,0.568720379,1.1812
68,15,50,0.1,0.5,0.1,0.3,263,2.46,0.56121673,1.2768
69,15,100,0.1,0.5,0.1,0.3,271,2.53,0.560147601,1.4611
70,15,150,0.1,0.5,0.1,0.3,383,3.6,0.563968668,1.2536
71,15,10,0.3,0.1,0.5,0.1,373,3.15,0.506702413,-6.9937
72,15,30,0.3,0.1,0.5,0.1,165,1.32,0.48,-7.0124
73,15,50,0.3,0.1,0.5,0.1,190,1.49,0.470526316,-7.1772
