Option_number,Employed_bees,Limit,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1.0,15.0,10.0,0.7,0.1,0.1,0.1,184.0,1.22,0.397826087,0.4598
7.0,15.0,30.0,0.1,0.7,0.1,0.1,307.0,1.32,0.257980456,0.3253
15.0,15.0,150.0,0.1,0.1,0.7,0.1,350.0,1.0,0.171428571,-9.341
18.0,15.0,50.0,0.1,0.1,0.1,0.7,195.0,0.69,0.212307692,-0.6768
21.0,15.0,10.0,0.3,0.3,0.3,0.1,197.0,0.73,0.222335025,-2.0982
30.0,15.0,150.0,0.3,0.3,0.1,0.3,407.0,1.61,0.237346437,0.1439
35.0,15.0,150.0,0.3,0.1,0.3,0.3,220.0,0.73,0.199090909,-2.8489
38.0,15.0,50.0,0.1,0.3,0.3,0.3,356.0,1.2,0.202247191,-2.9252
41.0,15.0,10.0,0.5,0.3,0.1,0.1,595.0,2.4,0.242016807,0.5067
49.0,15.0,100.0,0.5,0.1,0.3,0.1,342.0,1.2,0.210526316,-2.2935
53.0,15.0,50.0,0.5,0.1,0.1,0.3,160.0,0.74,0.2775,0.1865
58.0,15.0,50.0,0.3,0.5,0.1,0.1,516.0,2.06,0.239534884,0.4442
64.0,15.0,100.0,0.1,0.5,0.3,0.1,325.0,1.08,0.199384615,-2.5245
70.0,15.0,150.0,0.1,0.5,0.1,0.3,244.0,0.97,0.23852459,-0.0563
73.0,15.0,50.0,0.3,0.1,0.5,0.1,216.0,0.69,0.191666667,-5.5736
77.0,15.0,30.0,0.1,0.3,0.5,0.1,155.0,0.51,0.197419355,-5.6803
81.0,15.0,10.0,0.1,0.1,0.5,0.3,173.0,0.59,0.204624277,-6.3229
86.0,15.0,10.0,0.1,0.1,0.3,0.5,404.0,1.42,0.210891089,-3.4526
94.0,15.0,100.0,0.1,0.3,0.1,0.5,266.0,0.97,0.218796992,-0.239
100.0,15.0,150.0,0.3,0.1,0.1,0.5,229.0,0.87,0.227947598,-0.2653
105.0,15.0,150.0,0.25,0.25,0.25,0.25,220.0,0.77,0.21,-1.6738
