Option_number,Employed_bees,Limit,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,15,10,0.7,0.1,0.1,0.1,184,1.22,0.397826087,0.4598
2,15,30,0.7,0.1,0.1,0.1,349,1.9,0.326647564,0.513
3,15,50,0.7,0.1,0.1,0.1,324,1.38,0.255555556,0.5105
4,15,100,0.7,0.1,0.1,0.1,293,1.3,0.266211604,0.546
5,15,150,0.7,0.1,0.1,0.1,364,2,0.32967033,0.5377
6,15,10,0.1,0.7,0.1,0.1,291,1.39,0.286597938,0.3284
7,15,30,0.1,0.7,0.1,0.1,307,1.32,0.257980456,0.3253
8,15,50,0.1,0.7,0.1,0.1,177,0.75,0.254237288,0.3437
9,15,100,0.1,0.7,0.1,0.1,367,1.59,0.259945504,0.3754
10,15,150,0.1,0.7,0.1,0.1,193,0.75,0.233160622,0.3874
11,15,10,0.1,0.1,0.7,0.1,162,0.55,0.203703704,-9.0545
12,15,30,0.1,0.1,0.7,0.1,360,1.12,0.186666667,-9.251
13,15,50,0.1,0.1,0.7,0.1,363,1.1,0.181818182,-9.1932
14,15,100,0.1,0.1,0.7,0.1,214,0.62,0.173831776,-9.3043
15,15,150,0.1,0.1,0.7,0.1,350,1,0.171428571,-9.341
16,15,10,0.1,0.1,0.1,0.7,172,0.65,0.226744186,-0.647
17,15,30,0.1,0.1,0.1,0.7,175,0.63,0.216,-0.581
18,15,50,0.1,0.1,0.1,0.7,195,0.69,0.212307692,-0.6768
19,15,100,0.1,0.1,0.1,0.7,537,1.86,0.207821229,-0.6468
20,15,150,0.1,0.1,0.1,0.7,182,0.63,0.207692308,-0.6456
21,15,10,0.3,0.3,0.3,0.1,197,0.73,0.222335025,-2.0982
22,15,30,0.3,0.3,0.3,0.1,302,1.08,0.214569536,-2.0501
23,15,50,0.3,0.3,0.3,0.1,174,0.61,0.210344828,-1.9409
24,15,100,0.3,0.3,0.3,0.1,264,0.92,0.209090909,-1.9909
25,15,150,0.3,0.3,0.3,0.1,323,1.1,0.204334365,-1.9922
26,15,10,0.3,0.3,0.1,0.3,161,0.63,0.234782609,0.2665
27,15,30,0.3,0.3,0.1,0.3,360,1.43,0.238333333,0.2075
28,15,50,0.3,0.3,0.1,0.3,168,0.67,0.239285714,0.261
29,15,100,0.3,0.3,0.1,0.3,373,1.47,0.236461126,0.1701
30,15,150,0.3,0.3,0.1,0.3,407,1.61,0.237346437,0.1439
31,15,10,0.3,0.1,0.3,0.3,239,0.87,0.218410042,-2.802
32,15,30,0.3,0.1,0.3,0.3,253,0.9,0.213438735,-2.5942
33,15,50,0.3,0.1,0.3,0.3,272,0.92,0.202941176,-2.6013
34,15,100,0.3,0.1,0.3,0.3,485,1.59,0.196701031,-2.7671
35,15,150,0.3,0.1,0.3,0.3,220,0.73,0.199090909,-2.8489
36,15,10,0.1,0.3,0.3,0.3,229,0.86,0.225327511,-2.8312
37,15,30,0.1,0.3,0.3,0.3,488,1.7,0.209016393,-2.8414
