Option_number,Decrease_rate,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
2.0,0.85,0.7,0.1,0.1,0.1,700.0,8.87,0.760285714,3.5372
4.0,0.75,0.1,0.7,0.1,0.1,700.0,7.85,0.672857143,3.907
7.0,0.75,0.1,0.1,0.7,0.1,700.0,13.46,1.153714286,-39.2835
12.0,0.9,0.1,0.1,0.1,0.7,700.0,11.31,0.969428571,-1.0433
15.0,0.9,0.3,0.3,0.3,0.1,700.0,11.15,0.955714286,-3.2877
18.0,0.9,0.3,0.3,0.1,0.3,700.0,7.75,0.664285714,3.3208
19.0,0.75,0.3,0.1,0.3,0.3,700.0,11.16,0.956571429,-8.8073
23.0,0.85,0.1,0.3,0.3,0.3,700.0,12.42,1.064571429,-9.61
25.0,0.75,0.5,0.3,0.1,0.1,700.0,7.7,0.66,5.1144
30.0,0.9,0.5,0.1,0.3,0.1,700.0,11.56,0.990857143,-5.3159
32.0,0.85,0.5,0.1,0.1,0.3,700.0,9.97,0.854571429,2.7106
36.0,0.9,0.3,0.5,0.1,0.1,700.0,7.43,0.636857143,5.3709
39.0,0.9,0.1,0.5,0.3,0.1,700.0,11.76,1.008,-4.6093
41.0,0.85,0.1,0.5,0.1,0.3,700.0,9.99,0.856285714,2.6323
44.0,0.85,0.3,0.1,0.5,0.1,700.0,12.09,1.036285714,-22.1647
48.0,0.9,0.1,0.3,0.5,0.1,700.0,11.77,1.008857143,-21.9097
49.0,0.75,0.1,0.1,0.5,0.3,700.0,13.58,1.164,-27.2435
52.0,0.75,0.1,0.1,0.3,0.5,700.0,13.27,1.137428571,-13.6762
55.0,0.75,0.1,0.3,0.1,0.5,700.0,10.85,0.93,1.29
59.0,0.85,0.3,0.1,0.1,0.5,700.0,11.17,0.957428571,1.3765
63.0,0.9,0.25,0.25,0.25,0.25,700.0,10.28,0.881142857,-2.7957
