Option_number,Decrease_rate,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,0.75,0.7,0.1,0.1,0.1,700,8.67,0.743142857,3.912
2,0.85,0.7,0.1,0.1,0.1,700,8.87,0.760285714,3.5372
3,0.9,0.7,0.1,0.1,0.1,700,8.36,0.716571429,3.7542
4,0.75,0.1,0.7,0.1,0.1,700,7.85,0.672857143,3.907
5,0.85,0.1,0.7,0.1,0.1,700,8.9,0.762857143,4.4025
6,0.9,0.1,0.7,0.1,0.1,700,8.81,0.755142857,4.1734
7,0.75,0.1,0.1,0.7,0.1,700,13.46,1.153714286,-39.2835
8,0.85,0.1,0.1,0.7,0.1,700,12.01,1.029428571,-39.0728
9,0.9,0.1,0.1,0.7,0.1,700,11.66,0.999428571,-39.0086
10,0.75,0.1,0.1,0.1,0.7,700,11.58,0.992571429,-0.8981
11,0.85,0.1,0.1,0.1,0.7,700,11.32,0.970285714,-0.9539
12,0.9,0.1,0.1,0.1,0.7,700,11.31,0.969428571,-1.0433
13,0.75,0.3,0.3,0.3,0.1,700,11.19,0.959142857,-2.4275
14,0.85,0.3,0.3,0.3,0.1,700,11.15,0.955714286,-2.8925
15,0.9,0.3,0.3,0.3,0.1,700,11.15,0.955714286,-3.2877
16,0.75,0.3,0.3,0.1,0.3,700,8.37,0.717428571,3.5307
17,0.85,0.3,0.3,0.1,0.3,700,8.45,0.724285714,3.6534
18,0.9,0.3,0.3,0.1,0.3,700,7.75,0.664285714,3.3208
19,0.75,0.3,0.1,0.3,0.3,700,11.16,0.956571429,-8.8073
20,0.85,0.3,0.1,0.3,0.3,700,11.44,0.980571429,-8.6278
21,0.9,0.3,0.1,0.3,0.3,700,12.37,1.060285714,-8.3603
22,0.75,0.1,0.3,0.3,0.3,700,12.58,1.078285714,-8.5041
23,0.85,0.1,0.3,0.3,0.3,700,12.42,1.064571429,-9.61
24,0.9,0.1,0.3,0.3,0.3,700,10.99,0.942,-8.4627
25,0.75,0.5,0.3,0.1,0.1,700,7.7,0.66,5.1144
26,0.85,0.5,0.3,0.1,0.1,700,7.78,0.666857143,5.743
27,0.9,0.5,0.3,0.1,0.1,700,6.59,0.564857143,5.1728
28,0.75,0.5,0.1,0.3,0.1,700,11.61,0.995142857,-5.1596
29,0.85,0.5,0.1,0.3,0.1,700,11.35,0.972857143,-5.0167
30,0.9,0.5,0.1,0.3,0.1,700,11.56,0.990857143,-5.3159
31,0.75,0.5,0.1,0.1,0.3,700,8.92,0.764571429,2.9325
32,0.85,0.5,0.1,0.1,0.3,700,9.97,0.854571429,2.7106
33,0.9,0.5,0.1,0.1,0.3,700,9.39,0.804857143,3.4419
34,0.75,0.3,0.5,0.1,0.1,700,7.79,0.667714286,5.4593
35,0.85,0.3,0.5,0.1,0.1,700,7.83,0.671142857,6.1137
36,0.9,0.3,0.5,0.1,0.1,700,7.43,0.636857143,5.3709
37,0.75,0.1,0.5,0.3,0.1,700,11.89,1.019142857,-4.0696
38,0.85,0.1,0.5,0.3,0.1,700,11.89,1.019142857,-4.0606
39,0.9,0.1,0.5,0.3,0.1,700,11.76,1.008,-4.6093
40,0.75,0.1,0.5,0.1,0.3,700,8.91,0.763714286,2.773
41,0.85,0.1,0.5,0.1,0.3,700,9.99,0.856285714,2.6323
42,0.9,0.1,0.5,0.1,0.3,700,9.49,0.813428571,3.3451
43,0.75,0.3,0.1,0.5,0.1,700,13.6,1.165714286,-21.3149
44,0.85,0.3,0.1,0.5,0.1,700,12.09,1.036285714,-22.1647
45,0.9,0.3,0.1,0.5,0.1,700,13.56,1.162285714,-21.7289
46,0.75,0.1,0.3,0.5,0.1,700,13.11,1.123714286,-21.5568
47,0.85,0.1,0.3,0.5,0.1,700,13.42,1.150285714,-20.4969
48,0.9,0.1,0.3,0.5,0.1,700,11.77,1.008857143,-21.9097
49,0.75,0.1,0.1,0.5,0.3,700,13.58,1.164,-27.2435
50,0.85,0.1,0.1,0.5,0.3,700,12.23,1.048285714,-26.0738
51,0.9,0.1,0.1,0.5,0.3,700,13.07,1.120285714,-26.3143
52,0.75,0.1,0.1,0.3,0.5,700,13.27,1.137428571,-13.6762
53,0.85,0.1,0.1,0.3,0.5,700,13.16,1.128,-13.5193
54,0.9,0.1,0.1,0.3,0.5,700,12.94,1.109142857,-13.1947
55,0.75,0.1,0.3,0.1,0.5,700,10.85,0.93,1.29
56,0.85,0.1,0.3,0.1,0.5,700,10.89,0.933428571,1.6468
57,0.9,0.1,0.3,0.1,0.5,700,10.66,0.913714286,1.7535
58,0.75,0.3,0.1,0.1,0.5,700,11.07,0.948857143,1.6394
59,0.85,0.3,0.1,0.1,0.5,700,11.17,0.957428571,1.3765
60,0.9,0.3,0.1,0.1,0.5,700,9.99,0.856285714,1.4795
61,0.75,0.25,0.25,0.25,0.25,700,11.26,0.965142857,-2.5227
62,0.85,0.25,0.25,0.25,0.25,700,10.19,0.873428571,-2.1065
63,0.9,0.25,0.25,0.25,0.25,700,10.28,0.881142857,-2.7957
