Option_number,Decrease_rate,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,0.75,0.7,0.1,0.1,0.1,1000,1.56,0.0936,1.0507
2,0.8,0.7,0.1,0.1,0.1,1000,1.55,0.093,0.9279
3,0.85,0.7,0.1,0.1,0.1,1000,1.55,0.093,1.172
4,0.9,0.7,0.1,0.1,0.1,1000,1.71,0.1026,1.3968
5,0.75,0.1,0.7,0.1,0.1,1000,1.36,0.0816,0.7958
6,0.8,0.1,0.7,0.1,0.1,1000,1.54,0.0924,0.7532
7,0.85,0.1,0.7,0.1,0.1,1000,1.55,0.093,1.0084
8,0.9,0.1,0.7,0.1,0.1,1000,1.58,0.0948,0.9813
9,0.75,0.1,0.1,0.7,0.1,1000,2.51,0.1506,-11.8454
10,0.8,0.1,0.1,0.7,0.1,1000,2.66,0.1596,-11.6919
11,0.85,0.1,0.1,0.7,0.1,1000,2.5,0.15,-12.1146
12,0.9,0.1,0.1,0.7,0.1,1000,2.51,0.1506,-11.7408
13,0.75,0.1,0.1,0.1,0.7,1000,2.26,0.1356,-0.254
14,0.8,0.1,0.1,0.1,0.7,1000,2.28,0.1368,-0.2986
15,0.85,0.1,0.1,0.1,0.7,1000,2.28,0.1368,-0.4106
16,0.9,0.1,0.1,0.1,0.7,1000,2.22,0.1332,-0.3304
17,0.75,0.3,0.3,0.3,0.1,1000,2.07,0.1242,-1.0449
18,0.8,0.3,0.3,0.3,0.1,1000,2.17,0.1302,-1.0877
19,0.85,0.3,0.3,0.3,0.1,1000,2.02,0.1212,-1.1353
20,0.9,0.3,0.3,0.3,0.1,1000,2.05,0.123,-1.0244
21,0.75,0.3,0.3,0.1,0.3,1000,1.56,0.0936,1.0774
22,0.8,0.3,0.3,0.1,0.3,1000,1.58,0.0948,1.2573
23,0.85,0.3,0.3,0.1,0.3,1000,1.57,0.0942,1.2997
24,0.9,0.3,0.3,0.1,0.3,1000,1.59,0.0954,1.0931
25,0.75,0.3,0.1,0.3,0.3,1000,2.42,0.1452,-2.4884
26,0.8,0.3,0.1,0.3,0.3,1000,2.34,0.1404,-2.6625
27,0.85,0.3,0.1,0.3,0.3,1000,2.36,0.1416,-2.4655
28,0.9,0.3,0.1,0.3,0.3,1000,2.4,0.144,-2.4058
29,0.75,0.1,0.3,0.3,0.3,1000,2.34,0.1404,-2.2036
30,0.8,0.1,0.3,0.3,0.3,1000,2.38,0.1428,-2.753
31,0.85,0.1,0.3,0.3,0.3,1000,2.38,0.1428,-2.3942
32,0.9,0.1,0.3,0.3,0.3,1000,2.45,0.147,-2.7164
33,0.75,0.5,0.3,0.1,0.1,1000,1.36,0.0816,1.4702
34,0.8,0.5,0.3,0.1,0.1,1000,1.37,0.0822,1.3263
35,0.85,0.5,0.3,0.1,0.1,1000,1.5,0.09,1.7741
36,0.9,0.5,0.3,0.1,0.1,1000,1.51,0.0906,1.4705
37,0.75,0.5,0.1,0.3,0.1,1000,2.33,0.1398,-1.3528
38,0.8,0.5,0.1,0.3,0.1,1000,2.13,0.1278,-1.8498
39,0.85,0.5,0.1,0.3,0.1,1000,2.14,0.1284,-1.6664
40,0.9,0.5,0.1,0.3,0.1,1000,2.35,0.141,-1.7709
41,0.75,0.5,0.1,0.1,0.3,1000,2.01,0.1206,0.8187
42,0.8,0.5,0.1,0.1,0.3,1000,1.98,0.1188,0.6411
43,0.85,0.5,0.1,0.1,0.3,1000,1.99,0.1194,0.6072
44,0.9,0.5,0.1,0.1,0.3,1000,1.6,0.096,0.5873
45,0.75,0.3,0.5,0.1,0.1,1000,1.37,0.0822,1.6185
46,0.8,0.3,0.5,0.1,0.1,1000,1.51,0.0906,1.4676
47,0.85,0.3,0.5,0.1,0.1,1000,1.53,0.0918,1.4206
48,0.9,0.3,0.5,0.1,0.1,1000,1.54,0.0924,1.6393
49,0.75,0.1,0.5,0.3,0.1,1000,2.2,0.132,-1.5316
50,0.8,0.1,0.5,0.3,0.1,1000,2.06,0.1236,-1.6072
51,0.85,0.1,0.5,0.3,0.1,1000,2.07,0.1242,-1.479
52,0.9,0.1,0.5,0.3,0.1,1000,2.12,0.1272,-1.3367
53,0.75,0.1,0.5,0.1,0.3,1000,1.76,0.1056,0.5308
54,0.8,0.1,0.5,0.1,0.3,1000,1.77,0.1062,0.6779
55,0.85,0.1,0.5,0.1,0.3,1000,1.76,0.1056,0.717
56,0.9,0.1,0.5,0.1,0.3,1000,1.74,0.1044,0.6921
57,0.75,0.3,0.1,0.5,0.1,1000,2.57,0.1542,-6.2439
58,0.8,0.3,0.1,0.5,0.1,1000,2.41,0.1446,-6.0887
59,0.85,0.3,0.1,0.5,0.1,1000,2.44,0.1464,-6.0813
60,0.9,0.3,0.1,0.5,0.1,1000,2.67,0.1602,-6.2884
61,0.75,0.1,0.3,0.5,0.1,1000,2.62,0.1572,-6.3777
62,0.8,0.1,0.3,0.5,0.1,1000,2.63,0.1578,-6.2243
63,0.85,0.1,0.3,0.5,0.1,1000,2.44,0.1464,-6.3923
64,0.9,0.1,0.3,0.5,0.1,1000,2.61,0.1566,-5.9834
65,0.75,0.1,0.1,0.5,0.3,1000,2.55,0.153,-7.8856
66,0.8,0.1,0.1,0.5,0.3,1000,2.67,0.1602,-8.0887
67,0.85,0.1,0.1,0.5,0.3,1000,2.52,0.1512,-7.9738
68,0.9,0.1,0.1,0.5,0.3,1000,2.54,0.1524,-8.0524
69,0.75,0.1,0.1,0.3,0.5,1000,2.49,0.1494,-3.9168
70,0.8,0.1,0.1,0.3,0.5,1000,2.48,0.1488,-4.0033
71,0.85,0.1,0.1,0.3,0.5,1000,2.45,0.147,-3.7804
72,0.9,0.1,0.1,0.3,0.5,1000,2.72,0.1632,-4.016
73,0.75,0.1,0.3,0.1,0.5,1000,2.24,0.1344,0.4436
74,0.8,0.1,0.3,0.1,0.5,1000,2.08,0.1248,0.5088
75,0.85,0.1,0.3,0.1,0.5,1000,2.21,0.1326,0.518
76,0.9,0.1,0.3,0.1,0.5,1000,2.16,0.1296,0.4407
77,0.75,0.3,0.1,0.1,0.5,1000,2.19,0.1314,0.4609
78,0.8,0.3,0.1,0.1,0.5,1000,2.2,0.132,0.3983
79,0.85,0.3,0.1,0.1,0.5,1000,2.26,0.1356,0.5082
80,0.9,0.3,0.1,0.1,0.5,1000,2.22,0.1332,0.5699
81,0.75,0.25,0.25,0.25,0.25,1000,2.1,0.126,-0.9323
82,0.8,0.25,0.25,0.25,0.25,1000,2.25,0.135,-0.7003
83,0.85,0.25,0.25,0.25,0.25,1000,2.24,0.1344,-0.7299
84,0.9,0.25,0.25,0.25,0.25,1000,2.22,0.1332,-0.8512
