Option_number,Decrease_rate,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
4.0,0.9,0.7,0.1,0.1,0.1,1000.0,1.12,0.0672,0.5232
6.0,0.8,0.1,0.7,0.1,0.1,1000.0,0.85,0.051,0.2448
12.0,0.9,0.1,0.1,0.7,0.1,1000.0,1.03,0.0618,-8.2425
15.0,0.85,0.1,0.1,0.1,0.7,1000.0,0.91,0.0546,-0.594
20.0,0.9,0.3,0.3,0.3,0.1,1000.0,0.91,0.0546,-1.9243
24.0,0.9,0.3,0.3,0.1,0.3,1000.0,0.85,0.051,0.1564
26.0,0.8,0.3,0.1,0.3,0.3,1000.0,0.93,0.0558,-2.558
31.0,0.85,0.1,0.3,0.3,0.3,1000.0,0.93,0.0558,-2.5174
33.0,0.75,0.5,0.3,0.1,0.1,1000.0,0.84,0.0504,0.4702
38.0,0.8,0.5,0.1,0.3,0.1,1000.0,0.96,0.0576,-1.9782
42.0,0.8,0.5,0.1,0.1,0.3,1000.0,0.85,0.051,0.186
46.0,0.8,0.3,0.5,0.1,0.1,1000.0,0.84,0.0504,0.4502
51.0,0.85,0.1,0.5,0.3,0.1,1000.0,0.92,0.0552,-2.1095
54.0,0.8,0.1,0.5,0.1,0.3,1000.0,1.0,0.06,0.0296
60.0,0.9,0.3,0.1,0.5,0.1,1000.0,1.06,0.0636,-5.1308
61.0,0.75,0.1,0.3,0.5,0.1,1000.0,0.98,0.0588,-5.3343
66.0,0.8,0.1,0.1,0.5,0.3,1000.0,1.02,0.0612,-5.6858
69.0,0.75,0.1,0.1,0.3,0.5,1000.0,1.01,0.0606,-3.1863
75.0,0.85,0.1,0.3,0.1,0.5,1000.0,0.88,0.0528,-0.2537
79.0,0.85,0.3,0.1,0.1,0.5,1000.0,0.86,0.0516,-0.1844
84.0,0.9,0.25,0.25,0.25,0.25,1000.0,0.9,0.054,-1.521
