Option_number,Decrease_rate,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
1,0.75,0.7,0.1,0.1,0.1,1000,1,0.06,0.5475
2,0.8,0.7,0.1,0.1,0.1,1000,0.86,0.0516,0.5665
3,0.85,0.7,0.1,0.1,0.1,1000,0.9,0.054,0.6162
4,0.9,0.7,0.1,0.1,0.1,1000,1.12,0.0672,0.5232
5,0.75,0.1,0.7,0.1,0.1,1000,1.13,0.0678,0.302
6,0.8,0.1,0.7,0.1,0.1,1000,0.85,0.051,0.2448
7,0.85,0.1,0.7,0.1,0.1,1000,0.85,0.051,0.3192
8,0.9,0.1,0.7,0.1,0.1,1000,0.85,0.051,0.3817
9,0.75,0.1,0.1,0.7,0.1,1000,1.11,0.0666,-8.014
10,0.8,0.1,0.1,0.7,0.1,1000,1.16,0.0696,-8.1994
11,0.85,0.1,0.1,0.7,0.1,1000,1.02,0.0612,-8.2183
12,0.9,0.1,0.1,0.7,0.1,1000,1.03,0.0618,-8.2425
13,0.75,0.1,0.1,0.1,0.7,1000,0.91,0.0546,-0.5856
14,0.8,0.1,0.1,0.1,0.7,1000,0.91,0.0546,-0.5622
15,0.85,0.1,0.1,0.1,0.7,1000,0.91,0.0546,-0.594
16,0.9,0.1,0.1,0.1,0.7,1000,0.9,0.054,-0.5743
17,0.75,0.3,0.3,0.3,0.1,1000,0.92,0.0552,-1.8277
18,0.8,0.3,0.3,0.3,0.1,1000,0.91,0.0546,-1.841
19,0.85,0.3,0.3,0.3,0.1,1000,0.9,0.054,-1.8144
20,0.9,0.3,0.3,0.3,0.1,1000,0.91,0.0546,-1.9243
21,0.75,0.3,0.3,0.1,0.3,1000,0.85,0.051,0.311
22,0.8,0.3,0.3,0.1,0.3,1000,0.88,0.0528,0.2258
23,0.85,0.3,0.3,0.1,0.3,1000,0.84,0.0504,0.1587
24,0.9,0.3,0.3,0.1,0.3,1000,0.85,0.051,0.1564
